"ChangeHistoryDetailReport report (May 25, 2026 - June 23, 2026)"
Request Id: 01fbaa1d-69f7-0369-1e07-8b14e8ded36f

Data,Alterado por,Ferramenta,Campanha,Grupo de anúncios,Tipo de entidade,Nome da Entidade,Atributo alterado,Como mudou,Valor antigo,Novo valor
6/4/2026,marcosluciano.rodrigues@v4company.com,Web client (manual),[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,,Campaign,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,IncrementalBudgetAmt,Changed,150,75
6/4/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 2 - Office Cleaning Services,ImageExtension,office cleaning services,Association,Added,,Ad Group 2 - Office Cleaning Services
6/3/2026,System(Internal User),Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Keyword,cleaning commercial companies,ExternalEffectiveEditorialStatusId,Changed,PendingEditorialReview,Eligible
6/3/2026,System(Internal User),Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Keyword,cleaning companies commercial,ExternalEffectiveEditorialStatusId,Changed,PendingEditorialReview,Eligible
6/3/2026,System(Internal User),Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Keyword,commercial business cleaning services,ExternalEffectiveEditorialStatusId,Changed,PendingEditorialReview,Eligible
6/3/2026,System(Internal User),Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Keyword,commercial cleaning services prices,ExternalEffectiveEditorialStatusId,Changed,PendingEditorialReview,Eligible
6/3/2026,System(Internal User),Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Keyword,commercial cleaning services list,ExternalEffectiveEditorialStatusId,Changed,PendingEditorialReview,Eligible
6/3/2026,System(Internal User),Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Keyword,commercial cleaning janitorial services,ExternalEffectiveEditorialStatusId,Changed,PendingEditorialReview,Eligible
6/3/2026,System(Internal User),Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Keyword,nyc janitorial services,ExternalEffectiveEditorialStatusId,Changed,PendingEditorialReview,Eligible
6/3/2026,System(Internal User),Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Keyword,commercial cleaning local,ExternalEffectiveEditorialStatusId,Changed,PendingEditorialReview,Eligible
6/3/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Keyword,cleaning commercial companies,,Added,,cleaning commercial companies
6/3/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Keyword,cleaning companies commercial,,Added,,cleaning companies commercial
6/3/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Keyword,commercial business cleaning services,,Added,,commercial business cleaning services
6/3/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Keyword,commercial cleaning services prices,,Added,,commercial cleaning services prices
6/3/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Keyword,commercial cleaning services list,,Added,,commercial cleaning services list
6/3/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Keyword,commercial cleaning janitorial services,,Added,,commercial cleaning janitorial services
6/3/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Keyword,nyc janitorial services,,Added,,nyc janitorial services
6/3/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 1 - Commercial Cleaning Services (Core),Keyword,commercial cleaning local,,Added,,commercial cleaning local
6/3/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Keyword,services cleaning restaurant,,Added,,services cleaning restaurant
6/3/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Keyword,restaurant services cleaning,,Added,,restaurant services cleaning
6/3/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Keyword,commercial restaurant cleaning services,,Added,,commercial restaurant cleaning services
6/3/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Keyword,services restaurant cleaning,,Added,,services restaurant cleaning
6/3/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Keyword,restaurant kitchen cleaning services,,Added,,restaurant kitchen cleaning services
6/3/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Keyword,cleaning in restaurant,,Added,,cleaning in restaurant
6/3/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 4 - Restaurant Cleaning,Keyword,cleaning commercial kitchen,,Added,,cleaning commercial kitchen
6/3/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 5 - Hotel Cleaning,Keyword,cleaning hotel rooms,,Added,,cleaning hotel rooms
6/3/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 5 - Hotel Cleaning,Keyword,hotel cleaning service,,Added,,hotel cleaning service
6/3/2026,marcosluciano.rodrigues@v4company.com,Recommendations,[V4] [BING] [AQ] B2B Commercial Cleaning NJ NY,Ad Group 5 - Hotel Cleaning,Keyword,cleaning a hotel,,Added,,cleaning a hotel
