Search keyword report
"June 1, 2026 - June 16, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Quality Score,Final URL,Impr.,Interactions,CTR,Currency code,Avg. cost,Cost,Search impr. share,Search top IS,Search abs. top IS,Search lost IS (rank),Landing page exp.,Exp. CTR,Conv. rate,Conversions,Cost / conv.
Enabled,"""irrigation repair""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,5,,5,0,0.00%,USD,0,0.00,23.53%,23.53%,17.65%,64.71%,Average,Below average,0.00%,0.00,0.00
Enabled,"""same day sprinkler repair""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""sprinkler system repair near me""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,5,,0,0, --,USD,0,0.00,< 10%,< 10%,< 10%,> 90%,Above average,Below average,0.00%,0.00,0.00
Enabled,"""irrigation system installation near me""",Phrase match,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""irrigation repair scottsdale""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,5,,18,0,0.00%,USD,0,0.00,50.00%,40.00%,30.00%,33.33%,Average,Below average,0.00%,0.00,0.00
Enabled,irrigation repair,Broad match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,5,,211,7,3.32%,USD,11.69,81.81,27.33%,17.04%,< 10%,49.84%,Average,Below average,0.00%,0.00,0.00
Enabled,"""sprinkler repair near me""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,3,,2,0,0.00%,USD,0,0.00,14.29%,< 10%,< 10%,57.14%,Average,Below average,0.00%,0.00,0.00
Enabled,[irrigation system installation scottsdale],Exact match,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""sprinkler repair""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,5,,10,0,0.00%,USD,0,0.00,28.00%,20.00%,< 10%,56.00%,Average,Below average,0.00%,0.00,0.00
Paused,irrigation system installation,Broad match,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,"""irrigation system near me""",Phrase match,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Paused,paused; low quality, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""emergency sprinkler repair scottsdale""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Not eligible,rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""sprinkler repair scottsdale""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,4,,3,2,66.67%,USD,11.26,22.52,28.57%,28.57%,28.57%,57.14%,Average,Below average,0.00%,0.00,0.00
Enabled,sprinkler repair,Broad match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,5,,25,2,8.00%,USD,23.80,47.61,26.92%,17.31%,13.46%,25.00%,Average,Below average,0.00%,0.00,0.00
Enabled,"""sprinkler system repair scottsdale""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""scottsdale sprinkler repair""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,5,,2,0,0.00%,USD,0,0.00,100.00%,100.00%,< 10%,0.00%,Average,Below average,0.00%,0.00,0.00
Paused,"""installation of sprinkler irrigation system""",Phrase match,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""sprinkler system installation""",Phrase match,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Eligible,, --,,2,0,0.00%,USD,0,0.00,< 10%,< 10%,< 10%,> 90%, --, --,0.00%,0.00,0.00
Enabled,irrigation system near me,Broad match,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""lawn sprinkler repair""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,5,,2,0,0.00%,USD,0,0.00,66.67%,33.33%,< 10%,33.33%,Average,Below average,0.00%,0.00,0.00
Paused,installation of sprinkler irrigation system near me,Broad match,V4 - SEARCH - SERVICES,[V4] [New] Irrigation_System_Installation,Paused,paused; rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""sprinkler valve repair scottsdale""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Not eligible,rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""irrigation system repair near me""",Phrase match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,lawn sprinkler repair,Broad match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,5,,3,0,0.00%,USD,0,0.00, --, --, --, --,Average,Below average,0.00%,0.00,0.00
Enabled,sprinkler system repair,Broad match,V4 - SEARCH - SERVICES,[Emergency-02-26-Q1] Precision Repair,Eligible,,4,,1,0,0.00%,USD,0,0.00,< 10%,< 10%,< 10%,85.71%,Average,Below average,0.00%,0.00,0.00
Enabled,"""spring sprinkler startup""",Phrase match,V4 - SEARCH - SERVICES,[Seasonal-02-26-Q1] Spring Startup & Audit,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""summerize sprinkler system""",Phrase match,V4 - SEARCH - SERVICES,[Seasonal-02-26-Q1] Spring Startup & Audit,Not eligible,rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,sprinkler system inspection,Broad match,V4 - SEARCH - SERVICES,[Seasonal-02-26-Q1] Spring Startup & Audit,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,spring sprinkler startup,Broad match,V4 - SEARCH - SERVICES,[Seasonal-02-26-Q1] Spring Startup & Audit,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,irrigation system audit,Broad match,V4 - SEARCH - SERVICES,[Seasonal-02-26-Q1] Spring Startup & Audit,Eligible,,5,,0,0, --,USD,0,0.00, --, --, --, --,Average,Below average,0.00%,0.00,0.00
Enabled,irrigation maintenance services,Broad match,V4 - SEARCH - SERVICES,[Seasonal-02-26-Q1] Spring Startup & Audit,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""seasonal sprinkler check""",Phrase match,V4 - SEARCH - SERVICES,[Seasonal-02-26-Q1] Spring Startup & Audit,Not eligible,rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,sprinkler system tune up,Broad match,V4 - SEARCH - SERVICES,[Seasonal-02-26-Q1] Spring Startup & Audit,Eligible,, --,,84,2,2.38%,USD,6.43,12.86,18.10%,11.21%,< 10%,57.33%, --, --,50.00%,1.00,12.86
Enabled,"""sprinkler system activation""",Phrase match,V4 - SEARCH - SERVICES,[Seasonal-02-26-Q1] Spring Startup & Audit,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,lawn sprinkler service,Broad match,V4 - SEARCH - SERVICES,[Seasonal-02-26-Q1] Spring Startup & Audit,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,Facility Maintenance,Broad match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,"""multi-zone sprinkler system management""",Phrase match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Paused,paused; rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,facility management,Broad match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,"""commercial landscape maintenance bids""",Phrase match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,commercial irrigation services,Broad match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,irrigation inspection,Broad match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,irrigation audit services,Broad match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,property management,Broad match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Eligible,, --,,0,0, --,USD,0,0.00,< 10%,< 10%,< 10%,> 90%, --, --,0.00%,0.00,0.00
Enabled,commercial water management services,Broad match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,short term rental management companies,Broad match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,realtor,Broad match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Paused,paused; low quality, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,large scale irrigation installation,Broad match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Paused,paused; rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,General contractors,Broad match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,sprinkler service agreement,Broad match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Paused,paused; rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,airbnb management,Broad match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,rental property management,Broad match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,"""irrigation for business parks""",Phrase match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Paused,paused; rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,HOA irrigation maintenance,Broad match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,property manager,Broad match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,rental management company,Broad match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,irrigation maintenance contract,Broad match,V4 - SEARCH - SERVICES,[V4] [SIAG] B2B,Eligible,, --,,1,0,0.00%,USD,0,0.00,< 10%,< 10%,< 10%,75.00%, --, --,0.00%,0.00,0.00
Paused,[sprinkler system installation scottsdale],Exact match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""smart sprinkler system cost""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,wifi sprinkler controller,Broad match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""wifi sprinkler controller installation""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,"""rain bird smart controller""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""water saving sprinkler system""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""smart sprinkler installation scottsdale""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Not eligible,rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""smart irrigation system""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Eligible,,3,,0,0, --,USD,0,0.00,< 10%,< 10%,< 10%,> 90%,Below average,Below average,0.00%,0.00,0.00
Enabled,"""smart water irrigation""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,sprinkler system installation,Broad match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Eligible,, --,,0,0, --,USD,0,0.00,< 10%,< 10%,< 10%,> 90%, --, --,0.00%,0.00,0.00
Paused,rain bird smart controller,Broad match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,smart water irrigation,Broad match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""smart irrigation system scottsdale""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Not eligible,rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,hunter hydrawise installation,Broad match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""smart irrigation controller install""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,"""hunter hydrawise installation""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""smart irrigation installation az""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Not eligible,rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""irrigation system upgrade scottsdale""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Not eligible,rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,save water sprinkler system,Broad match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,smart irrigation scottsdale,Broad match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Not eligible,rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,smart irrigation system,Broad match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Eligible,,3,,1,0,0.00%,USD,0,0.00,25.00%,< 10%,< 10%,75.00%,Below average,Below average,0.00%,0.00,0.00
Enabled,"""save water sprinkler system""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,Weathermatic installation,Broad match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,automatic sprinkler system cost,Broad match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,[smart sprinkler system scottsdale],Exact match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Not eligible,rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,"""lawn sprinkler system design""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,hunter smart timer,Broad match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,[smart irrigation scottsdale],Exact match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Not eligible,rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,"""rachio installation""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""wifi sprinkler controller""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""save water sprinkler system scottsdale""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Not eligible,rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,hydropoint installation,Broad match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Paused,paused; rarely served, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,"""automatic sprinkler system cost""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Paused,rachio installation,Broad match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Paused,paused, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
Enabled,"""install smart irrigation system""",Phrase match,V4 - SEARCH - SERVICES,[02-26-Q1] Smart_Irrigation_Efficiency,Eligible,, --,,0,0, --,USD,0,0.00, --, --, --, --, --, --,0.00%,0.00,0.00
 --,,Total: All but removed keywords, --, --, --,, --,,394,14,3.55%,USD,12.15,170.11,24.73%,16.04%, --,51.87%, --, --,14.29%,2.00,85.06
,,Total: Keywords in your account,,,,,,,"1,100",42,3.82%,USD,12.95,543.79,24.36%,15.86%,,49.12%,,,7.14%,3.00,181.26
,,Total: Your keywords,,,,,,,"1,100",42,3.82%,USD,12.95,543.79, --, --,, --,,,7.14%,3.00,181.26
,,Total: AI Max expanded matches,,,,,,,0,0, --,USD,0,0.00, --, --,, --,,,0.00%,0.00,0.00
,,Total: AI Max landing page matches,,,,,,,0,0, --,USD,0,0.00, --, --,, --,,,0.00%,0.00,0.00
,,Total: URL inclusions in your account,,,,,,,0,0, --,USD,0,0.00, --, --,, --,,,0.00%,0.00,0.00
,,Total: Search keywords on display network,,,,,,,0,0, --,USD,0,0.00, --, --,, --,,,0.00%,0.00,0.00
,,Total: Account,,,,,,,"10,010",666,5.74%,USD,4.06,2705.40,28.52%,15.86%,,53.61%,,,5.26%,35.00,77.30
,,Total: Display,,,,,,,0,0, --,USD,0,0.00, --, --,, --,,,0.00%,0.00,0.00
,,Total: Search,,,,,,,"1,100",42,3.82%,USD,12.95,543.79,24.36%,15.86%,,49.12%,,,7.14%,3.00,181.26
,,Total: Video,,,,,,,0,0, --,USD,0,0.00, --, --,, --,,,0.00%,0.00,0.00
,,Total: Performance Max,,,,,,,"4,360",239,3.39%,USD,4.23,1010.50,30.42%, --,,55.66%,,,2.51%,6.00,168.42
